canonical_source_file,descriptive_name,local_version,actual_dev_ledger_version,target_project_ref,owning_task,accepted_report_sha256,acceptance_status,classification
supabase/migrations/20260923003042_connected_tasks_02c.sql,connected_tasks_02c,20260923003042,20260923003042,dnfhkmmnlbiabqypclqg,TASK-02C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923003818_fix_task_reconciliation_02c.sql,fix_task_reconciliation_02c,20260923003818,20260923003818,dnfhkmmnlbiabqypclqg,TASK-02C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923010729_onboarding_case_03a.sql,onboarding_case_03a,20260923010729,20260923010729,dnfhkmmnlbiabqypclqg,TASK-03A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923011708_stop_cancelled_onboarding_upload_03a.sql,stop_cancelled_onboarding_upload_03a,20260923011708,20260923011708,dnfhkmmnlbiabqypclqg,TASK-03A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923011923_guard_onboarding_history_03a.sql,guard_onboarding_history_03a,20260923011923,20260923011923,dnfhkmmnlbiabqypclqg,TASK-03A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923042043_personal_details_sia_03b.sql,personal_details_sia_03b,20260923042043,20260923042043,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043252_fix_03b_submission_aliases.sql,fix_03b_submission_aliases,20260923043252,20260923043252,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043554_scope_current_profile_to_active_v2_case.sql,scope_current_profile_to_active_v2_case,20260923043554,20260923043554,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043644_track_profile_credential_changes.sql,track_profile_credential_changes,20260923043644,20260923043644,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043746_guard_stale_sia_request.sql,guard_stale_sia_request,20260923043746,20260923043746,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043808_bind_sia_verification_change_sequence.sql,bind_sia_verification_change_sequence,20260923043808,20260923043808,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923043916_audit_super_private_profile_read.sql,audit_super_private_profile_read,20260923043916,20260923043916,dnfhkmmnlbiabqypclqg,TASK-03B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923052335_controlled_documents_03c.sql,controlled_documents_03c,20260923052335,20260923052335,dnfhkmmnlbiabqypclqg,TASK-03C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923052843_fix_controlled_history_guard_03c.sql,fix_controlled_history_guard_03c,20260923052843,20260923052843,dnfhkmmnlbiabqypclqg,TASK-03C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923052959_fix_controlled_catalog_rls_03c.sql,fix_controlled_catalog_rls_03c,20260923052959,20260923052959,dnfhkmmnlbiabqypclqg,TASK-03C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923053548_serialize_controlled_authority_03c.sql,serialize_controlled_authority_03c,20260923053548,20260923053548,dnfhkmmnlbiabqypclqg,TASK-03C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923061212_identity_evidence_03d.sql,identity_evidence_03d,20260923061212,20260923061212,dnfhkmmnlbiabqypclqg,TASK-03D,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923071903_onboarding_queue_03e.sql,onboarding_queue_03e,20260923071903,20260923071903,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072028_fix_queue_request_variable_03e.sql,fix_queue_request_variable_03e,20260923072028,20260923072028,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072138_allow_draft_owner_start_03e.sql,allow_draft_owner_start_03e,20260923072138,20260923072138,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072403_prevent_coordinator_self_reassignment_03e.sql,prevent_coordinator_self_reassignment_03e,20260923072403,20260923072403,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072759_allow_rls_owner_helper_03e.sql,allow_rls_owner_helper_03e,20260923072759,20260923072759,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072854_review_request_authority_03e.sql,review_request_authority_03e,20260923072854,20260923072854,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923072956_history_oversight_read_03e.sql,history_oversight_read_03e,20260923072956,20260923072956,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923074234_restore_controlled_access_guard_03e.sql,restore_controlled_access_guard_03e,20260923074234,20260923074234,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923074528_narrow_cover_document_actions_03e.sql,narrow_cover_document_actions_03e,20260923074528,20260923074528,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923074803_cover_progress_without_history_03e.sql,cover_progress_without_history_03e,20260923074803,20260923074803,dnfhkmmnlbiabqypclqg,TASK-03E,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923140000_people_directory_04a.sql,people_directory_04a,20260923140000,20260923140000,dnfhkmmnlbiabqypclqg,TASK-04A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923140227_people_directory_case_link_fix_04a.sql,people_directory_case_link_fix_04a,20260923140227,20260923140227,dnfhkmmnlbiabqypclqg,TASK-04A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923173348_crm_foundation_05a.sql,crm_foundation_05a,20260923173348,20260923173348,dnfhkmmnlbiabqypclqg,TASK-05A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923174246_crm_account_owner_history_05a.sql,crm_account_owner_history_05a,20260923174246,20260923174246,dnfhkmmnlbiabqypclqg,TASK-05A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923183905_operational_crm_05b.sql,operational_crm_05b,20260923183905,20260923183905,dnfhkmmnlbiabqypclqg,TASK-05B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923184710_crm_operational_summary_05b.sql,crm_operational_summary_05b,20260923184710,20260923184710,dnfhkmmnlbiabqypclqg,TASK-05B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923185151_document_task_conflict_05b.sql,document_task_conflict_05b,20260923185151,20260923185151,dnfhkmmnlbiabqypclqg,TASK-05B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923195333_client_site_event_06a.sql,client_site_event_06a,20260923195333,20260923195333,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923195536_operational_site_detail_06a.sql,operational_site_detail_06a,20260923195536,20260923195536,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923195710_operational_guard_name_06a.sql,operational_guard_name_06a,20260923195710,20260923195710,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923195837_operational_owner_choices_06a.sql,operational_owner_choices_06a,20260923195837,20260923195837,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923200536_event_detail_projection_06a.sql,event_detail_projection_06a,20260923200536,20260923200536,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923200619_event_upcoming_06a.sql,event_upcoming_06a,20260923200619,20260923200619,dnfhkmmnlbiabqypclqg,TASK-06A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923213416_event_staffing_requirements_06b.sql,event_staffing_requirements_06b,20260923213416,20260923213416,dnfhkmmnlbiabqypclqg,TASK-06B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923213619_staffing_exception_confirmation_06b.sql,staffing_exception_confirmation_06b,20260923213619,20260923213619,dnfhkmmnlbiabqypclqg,TASK-06B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923213751_staffing_guard_dispatch_06b.sql,staffing_guard_dispatch_06b,20260923213751,20260923213751,dnfhkmmnlbiabqypclqg,TASK-06B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923213831_staffing_existing_duplicate_edit_06b.sql,staffing_existing_duplicate_edit_06b,20260923213831,20260923213831,dnfhkmmnlbiabqypclqg,TASK-06B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260923215158_staffing_fk_indexes_06b.sql,staffing_fk_indexes_06b,20260923215158,20260923215158,dnfhkmmnlbiabqypclqg,TASK-06B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924091759_event_staff_allocations_06c.sql,event_staff_allocations_06c,20260924091759,20260924091759,dnfhkmmnlbiabqypclqg,TASK-06C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924092054_deployment_event_summary_06c.sql,deployment_event_summary_06c,20260924092054,20260924092054,dnfhkmmnlbiabqypclqg,TASK-06C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924093109_fix_allocation_history_guard_06c.sql,fix_allocation_history_guard_06c,20260924093109,20260924093109,dnfhkmmnlbiabqypclqg,TASK-06C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924094637_my_deployments_current_first_06c.sql,my_deployments_current_first_06c,20260924094637,20260924094637,dnfhkmmnlbiabqypclqg,TASK-06C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924101257_staff_availability_07a.sql,staff_availability_07a,20260924101257,20260924101257,dnfhkmmnlbiabqypclqg,TASK-07A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924101546_fix_availability_guard_07a.sql,fix_availability_guard_07a,20260924101546,20260924101546,dnfhkmmnlbiabqypclqg,TASK-07A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924101920_ack_availability_cancellation_07a.sql,ack_availability_cancellation_07a,20260924101920,20260924101920,dnfhkmmnlbiabqypclqg,TASK-07A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924103021_availability_calendar_bound_07a.sql,availability_calendar_bound_07a,20260924103021,20260924103021,dnfhkmmnlbiabqypclqg,TASK-07A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924105739_workforce_schedule_07b.sql,workforce_schedule_07b,20260924105739,20260924105739,dnfhkmmnlbiabqypclqg,TASK-07B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924110249_workforce_filter_choices_07b.sql,workforce_filter_choices_07b,20260924110249,20260924110249,dnfhkmmnlbiabqypclqg,TASK-07B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924110855_workforce_client_exact_07b.sql,workforce_client_exact_07b,20260924110855,20260924110855,dnfhkmmnlbiabqypclqg,TASK-07B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115024_site_shift_foundation_08a.sql,site_shift_foundation_08a,20260924115024,20260924115024,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115350_site_shift_allocation_gate_08a.sql,site_shift_allocation_gate_08a,20260924115350,20260924115350,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115359_site_shift_actions_08a.sql,site_shift_actions_08a,20260924115359,20260924115359,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115605_fix_site_shift_guard_08a.sql,fix_site_shift_guard_08a,20260924115605,20260924115605,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115648_fix_site_shift_generation_08a.sql,fix_site_shift_generation_08a,20260924115648,20260924115648,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115713_fix_site_shift_allocation_guard_08a.sql,fix_site_shift_allocation_guard_08a,20260924115713,20260924115713,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924115956_site_shift_schedule_08a.sql,site_shift_schedule_08a,20260924115956,20260924115956,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924120448_staff_deployment_action_centre_08b.sql,staff_deployment_action_centre_08b,20260924120448,20260924120448,dnfhkmmnlbiabqypclqg,TASK-08B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924120709_effective_pause_and_dst_08a.sql,effective_pause_and_dst_08a,20260924120709,20260924120709,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924120825_site_shift_history_08a.sql,site_shift_history_08a,20260924120825,20260924120825,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924121209_workforce_horizon_indicator_08a.sql,workforce_horizon_indicator_08a,20260924121209,20260924121209,dnfhkmmnlbiabqypclqg,TASK-08A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924121412_validate_event_notification_recipient_08b.sql,validate_event_notification_recipient_08b,20260924121412,20260924121412,dnfhkmmnlbiabqypclqg,TASK-08B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924121758_event_attendance_09a.sql,event_attendance_09a,20260924121758,20260924121758,dnfhkmmnlbiabqypclqg,TASK-09A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924125902_fix_attendance_resolution_idempotency_09a.sql,fix_attendance_resolution_idempotency_09a,20260924125902,20260924125902,dnfhkmmnlbiabqypclqg,TASK-09A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924135623_task_08d_static_horizon_maintenance.sql,task_08d_static_horizon_maintenance,20260924135623,20260924135623,dnfhkmmnlbiabqypclqg,TASK-08D,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924135852_task_08d_bounded_manual_rerun.sql,task_08d_bounded_manual_rerun,20260924135852,20260924135852,dnfhkmmnlbiabqypclqg,TASK-08D,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924140336_static_allocation_action_centre_08c.sql,static_allocation_action_centre_08c,20260924140336,20260924140336,dnfhkmmnlbiabqypclqg,TASK-08C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924140706_static_notification_fk_indexes_08c.sql,static_notification_fk_indexes_08c,20260924140706,20260924140706,dnfhkmmnlbiabqypclqg,TASK-08C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924140945_replay_static_notification_after_cancel_08c.sql,replay_static_notification_after_cancel_08c,20260924140945,20260924140945,dnfhkmmnlbiabqypclqg,TASK-08C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924142904_task_12a_incident_reporting_foundation.sql,task_12a_incident_reporting_foundation,20260924142904,20260924142904,dnfhkmmnlbiabqypclqg,TASK-12A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924143603_task_12a_submit_result.sql,task_12a_submit_result,20260924143603,20260924143603,dnfhkmmnlbiabqypclqg,TASK-12A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924143623_task_08d_health_status.sql,task_08d_health_status,20260924143623,20260924143623,dnfhkmmnlbiabqypclqg,TASK-08D,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924143710_task_12a_action_event_mapping.sql,task_12a_action_event_mapping,20260924143710,20260924143710,dnfhkmmnlbiabqypclqg,TASK-12A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924144710_task_12a_fk_indexes.sql,task_12a_fk_indexes,20260924144710,20260924144710,dnfhkmmnlbiabqypclqg,TASK-12A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924144912_task_12a_external_descriptor_privacy.sql,task_12a_external_descriptor_privacy,20260924144912,20260924144912,dnfhkmmnlbiabqypclqg,TASK-12A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924161448_attendance_pagination_focus_09a.sql,attendance_pagination_focus_09a,20260924161448,20260924161448,dnfhkmmnlbiabqypclqg,TASK-09A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924170934_static_attendance_adapter_09b.sql,static_attendance_adapter_09b,20260924170934,20260924170934,dnfhkmmnlbiabqypclqg,TASK-09B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924172914_event_work_time_10b.sql,event_work_time_10b,20260924172914,20260924172914,dnfhkmmnlbiabqypclqg,TASK-10B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924173434_guard_approved_work_time_reopen_10b.sql,guard_approved_work_time_reopen_10b,20260924173434,20260924173434,dnfhkmmnlbiabqypclqg,TASK-10B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924173727_fix_work_time_manager_action_ambiguity_10b.sql,fix_work_time_manager_action_ambiguity_10b,20260924173727,20260924173727,dnfhkmmnlbiabqypclqg,TASK-10B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174321_site_book_14a.sql,site_book_14a,20260924174321,20260924174321,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174558_mobilisation_18a.sql,mobilisation_18a,20260924174558,20260924174558,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174700_asset_custody_15a.sql,asset_custody_15a,20260924174700,20260924174700,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174734_control_room_13a.sql,control_room_13a,20260924174734,20260924174734,dnfhkmmnlbiabqypclqg,TASK-13A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174815_asset_person_custody_scope_15a.sql,asset_person_custody_scope_15a,20260924174815,20260924174815,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174833_site_book_access_choices_14a.sql,site_book_access_choices_14a,20260924174833,20260924174833,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924174950_mobilisation_handover_facts_18a.sql,mobilisation_handover_facts_18a,20260924174950,20260924174950,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175006_asset_history_null_guard_15a.sql,asset_history_null_guard_15a,20260924175006,20260924175006,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175039_asset_event_location_15a.sql,asset_event_location_15a,20260924175039,20260924175039,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175131_asset_fk_indexes_15a.sql,asset_fk_indexes_15a,20260924175131,20260924175131,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175213_asset_stock_adjustment_15a.sql,asset_stock_adjustment_15a,20260924175213,20260924175213,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175345_asset_loss_recovery_15a.sql,asset_loss_recovery_15a,20260924175345,20260924175345,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175424_asset_stock_history_15a.sql,asset_stock_history_15a,20260924175424,20260924175424,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175455_asset_holder_choices_15a.sql,asset_holder_choices_15a,20260924175455,20260924175455,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175517_asset_holder_choices_scope_15a.sql,asset_holder_choices_scope_15a,20260924175517,20260924175517,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175751_site_book_read_model_14a.sql,site_book_read_model_14a,20260924175751,20260924175751,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175811_asset_holder_labels_15a.sql,asset_holder_labels_15a,20260924175811,20260924175811,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924175927_mobilisation_choices_18a.sql,mobilisation_choices_18a,20260924175927,20260924175927,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180256_asset_my_workspace_15a.sql,asset_my_workspace_15a,20260924180256,20260924180256,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180257_mobilisation_safe_projection_18a.sql,mobilisation_safe_projection_18a,20260924180257,20260924180257,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180450_mobilisation_unlink_18a.sql,mobilisation_unlink_18a,20260924180450,20260924180450,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180453_asset_grant_history_15a.sql,asset_grant_history_15a,20260924180453,20260924180453,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180538_asset_grant_audit_view_15a.sql,asset_grant_audit_view_15a,20260924180538,20260924180538,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180738_asset_null_guard_15a.sql,asset_null_guard_15a,20260924180738,20260924180738,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180819_site_book_item_lookback_14a.sql,site_book_item_lookback_14a,20260924180819,20260924180819,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924180911_site_book_item_execute_14a.sql,site_book_item_execute_14a,20260924180911,20260924180911,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924181108_asset_inspection_scope_15a.sql,asset_inspection_scope_15a,20260924181108,20260924181108,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924181328_asset_stock_actor_fields_15a.sql,asset_stock_actor_fields_15a,20260924181328,20260924181328,dnfhkmmnlbiabqypclqg,TASK-15A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924181601_mobilisation_private_facts_18a.sql,mobilisation_private_facts_18a,20260924181601,20260924181601,dnfhkmmnlbiabqypclqg,TASK-18A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924181907_site_book_grant_uniqueness_14a.sql,site_book_grant_uniqueness_14a,20260924181907,20260924181907,dnfhkmmnlbiabqypclqg,TASK-14A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924193618_training_catalogue_20b.sql,training_catalogue_20b,20260924193618,20260924193618,dnfhkmmnlbiabqypclqg,TASK-20B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260924193642_training_catalogue_20b_schema.sql,training_catalogue_20b_schema,20260924193642,20260924193642,dnfhkmmnlbiabqypclqg,TASK-20B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
